schema_version,figure_id,filename,title,analysis_unit,uncertainty_note,input_files_json,input_sha256,image_sha256,width_pixels,height_pixels,dpi,font_family,contains_patient_ids
1,F01,figures/01_base_degradation_vs_static_ftv_gain.png,基础损失退化与静态 FTV 表征增益,seed×fold run（n=25）,"相关系数误差为20,000次 crossed seed×fold percentile bootstrap 95% CI；散点无测量误差条。","{""metrics/phase_a_gain_correlations.csv"":""b8d961ac0286744cfed3581ec6bcb8ebd2bc20ee668e205e4d328063ee74fb80"",""metrics/run_level_existing_metrics.csv"":""ed92780aef48d0e2608493a276481e893dd9983ea4649f6adb96d328a11043e2""}",bdb13b31ff6dd30505b3a856840ffc8de07357995ef094949c70ee62f1d32e8d,2dcc2b0c08c3da698a237b62868df920eeedc2a85364174c1718e174c381f6dc,2880,1800,240,Noto Sans CJK JP,False
1,F02,figures/02_base_degradation_vs_observed_delta_ftv_gain.png,基础损失退化与 observed ΔFTV 增益,seed×fold run（n=25）,"相关系数误差为20,000次 crossed seed×fold percentile bootstrap 95% CI；散点无测量误差条。","{""metrics/phase_a_gain_correlations.csv"":""b8d961ac0286744cfed3581ec6bcb8ebd2bc20ee668e205e4d328063ee74fb80"",""metrics/run_level_existing_metrics.csv"":""ed92780aef48d0e2608493a276481e893dd9983ea4649f6adb96d328a11043e2""}",bdb13b31ff6dd30505b3a856840ffc8de07357995ef094949c70ee62f1d32e8d,9fb87de0a7f023618bec6e4b5c1c7233b8aa1751ada3f96bd4d0cf81fd06b8a3,2880,1800,240,Noto Sans CJK JP,False
1,F03,figures/03_base_degradation_vs_all_shared_cosine.png,基础损失退化与 all-shared 梯度 cosine,seed×fold run（每点先聚合8个固定 batch，n=25）,"相关系数误差为20,000次 crossed seed×fold percentile bootstrap 95% CI；train/validation 分开。","{""metrics/gradient_correlation_metrics.csv"":""7b3c256e8d8fb8ef9f9c8b9267805c74ca9d480f3be107c6ea1abd02d16b4aa8"",""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",b30cdbfeabccc2c7da020489145eedbb85af5d13847c9db9e7bfe9c6a02977f4,428f40fd16afc8d9650b84701d7091397a301a481d0f32b10d9cdcef8fb4f097,3360,1800,240,Noto Sans CJK JP,False
1,F04,figures/04_base_degradation_vs_mbase.png,基础损失退化与 base-descent margin,seed×fold run（每点先聚合8个固定 batch，n=25）,"相关系数误差为20,000次 crossed seed×fold percentile bootstrap 95% CI；M_base=0/1 为解释参考线。","{""metrics/gradient_correlation_metrics.csv"":""7b3c256e8d8fb8ef9f9c8b9267805c74ca9d480f3be107c6ea1abd02d16b4aa8"",""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",b30cdbfeabccc2c7da020489145eedbb85af5d13847c9db9e7bfe9c6a02977f4,03fe6ffb84f9fc69f4dd61efa499178685343824ec904f783081f5e513cac4a9,3360,1800,240,Noto Sans CJK JP,False
1,F05,figures/05_pass_fail_cosine.png,PASS/FAIL 的 all-shared 梯度 cosine,seed×fold run（PASS=17，FAIL=8）,箱体为run值IQR、须为1.5×IQR；标注为crossed seed×fold bootstrap的FAIL−PASS median difference 95% CI。,"{""metrics/pass_fail_comparison.csv"":""ceab0824b3b3e4fe2117c6f5af68ca3774a199c86185bff511daecdebaf06a3c"",""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",d430caf0f4f312a5da79110ba13e1feee4c38c5620f82dd975bef77211dcbe25,25eb973eadba38875104722135656043c4e85b3eb330a5b3ef9b4983518179ab,3360,1800,240,Noto Sans CJK JP,False
1,F06,figures/06_pass_fail_mbase.png,PASS/FAIL 的 all-shared base-descent margin,seed×fold run（PASS=17，FAIL=8）,箱体为run值IQR、须为1.5×IQR；标注为crossed seed×fold bootstrap的FAIL−PASS median difference 95% CI。,"{""metrics/pass_fail_comparison.csv"":""ceab0824b3b3e4fe2117c6f5af68ca3774a199c86185bff511daecdebaf06a3c"",""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",d430caf0f4f312a5da79110ba13e1feee4c38c5620f82dd975bef77211dcbe25,1324a6bd43f6aadbf14c1c5352cc633c625456ca2a58e812ad998595a586779e,3360,1800,240,Noto Sans CJK JP,False
1,F07,figures/07_pass_fail_norm_ratio.png,PASS/FAIL 的 all-shared weighted gradient norm ratio,seed×fold run（PASS=17，FAIL=8）,箱体为run值IQR、须为1.5×IQR；标注为crossed seed×fold bootstrap的FAIL−PASS median difference及ratio 95% CI。,"{""metrics/pass_fail_comparison.csv"":""ceab0824b3b3e4fe2117c6f5af68ca3774a199c86185bff511daecdebaf06a3c"",""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",d430caf0f4f312a5da79110ba13e1feee4c38c5620f82dd975bef77211dcbe25,cbd9992dbb581adebca0fe34278a004fcf1072f6526bbfc7888d8873e847b19d,3360,1800,240,Noto Sans CJK JP,False
1,F08,figures/08_layerwise_cosine_heatmap.png,Layer-wise 梯度 cosine 热图,seed×fold run×非重叠共享层（每格为8 batch中位数）,描述性点估计，无额外误差条；正式定位只使用stage1–4与response projection五个非重叠组。,"{""metrics/layer_level_conflict_metrics.csv"":""808ccb61a58dc19452083bbe466b4babd7b4745d2365133eb2ca0c0dfad9f8ce""}",48365fea5af1c8ccdedb2b277427a30e9fe947c72997a3b2bb2e5b59a41c016d,7dd91536ce1e77c55766e26a9bd7c58acfbab43e9c1b996881f6ce25f4b52e66,3600,2160,240,Noto Sans CJK JP,False
1,F09,figures/09_layerwise_mbase_heatmap.png,Layer-wise base-descent margin 热图,seed×fold run×非重叠共享层（每格为8 batch中位数）,描述性点估计，无额外误差条；M_base=1表示FTV对base一阶下降既不帮助也不削弱。,"{""metrics/layer_level_conflict_metrics.csv"":""808ccb61a58dc19452083bbe466b4babd7b4745d2365133eb2ca0c0dfad9f8ce""}",48365fea5af1c8ccdedb2b277427a30e9fe947c72997a3b2bb2e5b59a41c016d,bc69b209f5fcf3bfb793a032bb3ca60539abd96ec4013bd904db6eaaa3fc2e00,3600,2160,240,Noto Sans CJK JP,False
1,F10,figures/10_seed_fold_conflict_heatmap.png,Validation all-shared 的 seed×fold conflict,seed×fold run（5×5完整网格）,描述性点估计，无额外误差条；左图为8 batch median cosine，右图为8 batch median M_base。,"{""metrics/run_level_conflict_metrics.csv"":""31c33b5d68e4efb1ff86a2b1d079f9ccc0e52161b1fb5db08e3489697241801d""}",55b4a6fc13e78a39951ba6d3e2c87fffa1a74c1458653712ed04ab08449f1368,13564024bfca0554b2e1f3b897998e5f91572007ece8e348d6fbea602de238a7,3360,1800,240,Noto Sans CJK JP,False
