schema_version,seed_base,fold,effective_seed,checkpoint_kind,checkpoint,checkpoint_sha256,checkpoint_bytes,checkpoint_epoch,history,history_sha256,selection,selection_sha256,checkpoint_mirrored_tensor_entries_checked,shared_initialization_sha256,state_distinct_from_selected,formal_inference_checkpoint,contains_patient_ids
1,2026,0,2026,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_0/best.pt,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,31452083,3,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_0.csv,bd03250eb6c8963f62c5a8f0e060458c8e8b15f5946d660a28a9f2a7c202dc19,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_0/selection.json,1b7132698c6a4565ad4048633b1c05b306746cd40227a0e098c1281413a71484,242,59415d1b16d26a38ed02a58a28bbedff20b9544d5f5bc7c8fe970941726518df,False,True,False
1,2026,1,2027,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_1/best.pt,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,31452083,2,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_1.csv,dd7499e9da30e23fe5fb928cdc07e1ed6b1c14c1c89e5b4d8066effdb1e7f927,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_1/selection.json,fd3019f7e2f97004cb4a575ca2de178daad79b3238d5d2e63d881b9c86b5b198,242,08325f229688eabcd67d803542a342d1aa33b85ed16d0cca0cef3eaebbf8326d,False,True,False
1,2026,2,2028,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_2/best.pt,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,31452083,2,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_2.csv,5939134ffeed9a463a95965e5d92127397b6e47d9492cf8cace2a3a2e425a2b6,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_2/selection.json,ab67daf1a67951fdb4cdd397b3e6c4c7e30c9bbe617817e62625aa16d90af458,242,967facdeecdf6549e0dd8e5ef23545a90eaec1e84c495a7801a8a561b629df6d,False,True,False
1,2026,3,2029,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_3/best.pt,7ad9c9ffe4701cb760e4376c0b2a26e7075c42775b326e4f8860992066002acc,31452147,3,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_3.csv,11382aba1f8d396cfdf0e08d48c67e97f3aadb76e3b3ba0a83b01869b7ae21b8,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_3/selection.json,6bff51b2310e7277c5b8b64c4e8d36108b0b9d59cbae760ac391ccf682295332,242,4002dce3ef8db13e023ebecadca46423a8d83ac7c804d8b43b919f8565156085,False,True,False
1,2026,4,2030,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_4/best.pt,39a0231d4fa64d6398d8c931a4e7664275b41faa30b5679c6ec85df751e41963,31452147,2,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_4.csv,39cd843f511a17e91667881ba2cddc92282b981525d47dd7e3d2fef7cc3b2331,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_4/selection.json,764bdeb8128d28ccfedf6430c09603ff0067cb837e72b90426e5a4026892d63f,242,ae0790a72ca9aca3342b5af49e11e0295863d70bfd856898b0d54d4c66c3b34d,False,True,False
1,3026,0,3026,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_0/best.pt,1e4b2039bfe0894ce18facfd84b609776a7c4b199c70ad2d5d18fb02e52e9218,31452083,3,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_0.csv,64099646ec0d828d79543097f1f024b558741ec1322c07662ec5e237ae140110,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_0/selection.json,e578337371e1234bb6cd659805417e27ae69082dbacba5445ac3f178e99214db,242,f993c4dbafc97303573892fea4c9b6d581f11f4e965996e021dfd8a9c1cfbdbc,False,True,False
1,3026,1,3027,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_1/best.pt,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,31452083,2,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_1.csv,c40078553e55db9c7d439e3bf023fbf63cb8cc7a06ed79eba1b60a149da6f4e9,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_1/selection.json,24f2e6f2daf01597951046ce652246e91a4bccba6deb9eedced6f93b5e1d6329,242,9b234ede4fdaad5eea744c53eb1df95d72774e51a2d05111eac6ff8d22c2ce9a,False,True,False
1,3026,2,3028,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_2/best.pt,b058efe7ddb8fcc25bf5323d9118dbd5de83c8c2d0d8017c8c35ca2dca860444,31452083,3,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_2.csv,737ac9e74babde3aebc5282847e43136259ff779575dacf69d8c58a565913e6f,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_2/selection.json,c6f6f8b4d6f37a0a2e7887b5aa12a37bb40b415a561952c4deec5adf15e01837,242,02ca4d12fa2161da3432873a478dd16a953914764515fdc5a42d574b2422fd09,False,True,False
1,3026,3,3029,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_3/best.pt,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,31452147,2,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_3.csv,898e63206f1e2ffce43e59421159c140225e0ca19a9f70f4b1afb012acdf6918,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_3/selection.json,003f1bb45644ed92a301672498fd14fbbde9f26f92c0d4b9bb210e8a049765fb,242,55af9c832f4a581ef8bd6d4c1e968b372c09d181486851a67c929572bab0ef50,False,True,False
1,3026,4,3030,selected,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_4/best.pt,bef4ad3c15cd227bad8aebe2bc48c6fa5f0681225e725c44dd0b90e65b9335ca,31452147,3,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_4.csv,562506bf7787af8c292cf72813bdf321a65857afad67e6939c7f2b794360ffb3,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_4/selection.json,d73fb444b533ada17f9bf877024e1cdc0b58604ca3dd9b987b460b211faf886f,242,a443c81052e7d609e22c94c8c16912a4bab15eeaa76fa8f1cca7e82a3d2f495c,False,True,False
